ID_Adr,N,Nom_Rue,Code_Postal,NB_KW_Jour
A0001,30,Rue Victor Hugo,75001,46.96
A0002,31,Boulevard Haussmann,75002,27.09
A0003,164,Rue de la Paix,75001,43.5
A0004,5,Rue de la Paix,75002,22.12
A0005,120,Rue Victor Hugo,75001,18.23
A0006,191,Boulevard Haussmann,75001,11.62
A0007,103,,75001,21.13
A0008,85,Rue de la Paix,75002,46.72
A0009,132,Rue de la Paix,75001,21.27
A0010,45,Boulevard Haussmann,75001,48.47
A0011,7,Avenue des Champs-Élysées,75002,31.56
A0012,190,Boulevard Haussmann,75001,30.75
A0013,111,Rue de Rivoli,75001,26.53
A0014,104,Rue de Rivoli,75002,16.16
A0015,15,Rue Victor Hugo,75002,22.24
A0016,46,,75002,25.4
A0017,134,Boulevard Haussmann,999,34.34
A0018,166,Rue de la Paix,75002,47.42
A0019,62,Avenue des Champs-Élysées,75002,35.8
A0020,23,Boulevard Haussmann,75001,30.1
A0021,108,Rue de la Paix,75002,44.35
A0022,26,Rue de la Paix,75002,46.37
A0023,85,Rue de la Paix,75002,49.39
A0024,57,Rue Victor Hugo,75001,28.5
A0025,167,Avenue des Champs-Élysées,75001,23.34
A0026,32,Boulevard Haussmann,75001,21.84
A0027,189,Rue Victor Hugo,75001,21.95
A0028,135,Rue de Rivoli,75002,39.6
A0029,135,Boulevard Haussmann,75002,42.56
A0030,157,Rue de la Paix,75001,18.13
A0031,148,Rue de la Paix,75002,10.13
A0032,50,Boulevard Haussmann,75002,8.05
A0033,103,Boulevard Haussmann,75002,18.4
A0034,9,,75002,21.47
A0035,107,Rue de Rivoli,999,30.95
A0036,123,Rue de Rivoli,75001,5.27
A0037,22,Avenue des Champs-Élysées,75001,39.84
A0038,46,Rue de Rivoli,75002,45.71
A0039,101,Rue Victor Hugo,75001,29.07
A0040,39,Avenue des Champs-Élysées,75002,11.81
A0041,185,Boulevard Haussmann,75001,44.89
A0042,130,Rue Victor Hugo,75002,33.72
A0043,42,Rue Victor Hugo,75001,34.4
A0044,78,Rue Victor Hugo,75002,43.52
A0045,47,Boulevard Haussmann,75002,44.09
A0046,14,Rue de Rivoli,75001,21.73
A0047,166,Rue de Rivoli,75001,11.06
A0048,23,Rue Victor Hugo,75001,40.09
A0049,93,Rue Victor Hugo,75002,34.91
A0050,97,Boulevard Haussmann,75002,44.31
